[26/Apr/2020:07:59:47 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/tree_info.gif HTTP/1.1" 200 (6 ms)
[26/Apr/2020:08:00:19 -0300] 0:0:0:0:0:0:0:1 "POST /tempo/query.do?jsessionid=0e429a51cb58a7872780e379e03c74ba HTTP/1.1" 200 (18 ms)
[26/Apr/2020:08:00:19 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/stylesheet.css HTTP/1.1" 304 (1 ms)
[26/Apr/2020:08:00:19 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/table.js HTTP/1.1" 200 (8 ms)
[26/Apr/2020:08:00:45 -0300] 0:0:0:0:0:0:0:1 "POST /tempo/query.do?jsessionid=0e429a51cb58a7872780e379e03c74ba HTTP/1.1" 200 (5 ms)
[26/Apr/2020:08:00:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/table.js HTTP/1.1" 304 (1 ms)
[26/Apr/2020:08:00:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/stylesheet.css HTTP/1.1" 304 (2 ms)
[26/Apr/2020:08:01:42 -0300] 0:0:0:0:0:0:0:1 "POST /tempo/query.do?jsessionid=0e429a51cb58a7872780e379e03c74ba HTTP/1.1" 200 (3 ms)
[26/Apr/2020:08:01:43 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/stylesheet.css HTTP/1.1" 304 (2 ms)
[26/Apr/2020:08:01:43 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/table.js HTTP/1.1" 304 (2 ms)
[26/Apr/2020:08:01:59 -0300] 0:0:0:0:0:0:0:1 "POST /tempo/query.do?jsessionid=0e429a51cb58a7872780e379e03c74ba HTTP/1.1" 200 (3 ms)
[26/Apr/2020:08:01:59 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/stylesheet.css HTTP/1.1" 304 (2 ms)
[26/Apr/2020:08:01:59 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/table.js HTTP/1.1" 304 (2 ms)
[26/Apr/2020:08:02:43 -0300] 0:0:0:0:0:0:0:1 "GET /tempo HTTP/1.1" 302 (95 ms)
[26/Apr/2020:08:02:43 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/ HTTP/1.1" 200 (40 ms)
[26/Apr/2020:08:02:43 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/stylesheet.css HTTP/1.1" 200 (18 ms)
[26/Apr/2020:08:02:43 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/login.jsp?jsessionid=55d6a180a6c73d390c7199e752e56dda HTTP/1.1" 200 (5 ms)
[26/Apr/2020:08:02:43 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/background.gif HTTP/1.1" 200 (7 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "POST /tempo/login.do?jsessionid=55d6a180a6c73d390c7199e752e56dda HTTP/1.1" 200 (8 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/header.jsp?jsessionid=55d6a180a6c73d390c7199e752e56dda HTTP/1.1" 200 (7 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/help.jsp?jsessionid=55d6a180a6c73d390c7199e752e56dda HTTP/1.1" 200 (7 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/query.jsp?jsessionid=55d6a180a6c73d390c7199e752e56dda HTTP/1.1" 200 (7 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_disconnect.gif HTTP/1.1" 200 (7 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_line.gif HTTP/1.1" 200 (11 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_refresh.gif HTTP/1.1" 200 (7 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_rollback.gif HTTP/1.1" 200 (8 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_help.gif HTTP/1.1" 200 (7 ms)
[26/Apr/2020:08:02:45 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_commit.gif HTTP/1.1" 200 (18 ms)
[26/Apr/2020:08:02:46 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_history.gif HTTP/1.1" 200 (22 ms)
[26/Apr/2020:08:02:46 -0300] 0:0:0:0:0:0:0:1 "GET /tempo/icon_stop.gif HTTP/1.1" 200 (6 ms)
